Date,Depth,Density,Latitude,Longitude
2020-02-19 12:00:00,0.3184096,367.06207,88.26620833,72.908235
2020-02-20 12:00:00,0.31039363,381.71213,88.39246667,68.573255
2020-02-21 12:00:00,0.30561045,390.21457,88.50595167,66.38364333
2020-02-22 12:00:00,0.30813068,389.09338,88.57764833,64.49921333
2020-02-23 12:00:00,0.30422735,394.79614,88.593335,61.17400333
2020-02-24 12:00:00,0.3023967,399.65384,88.58803,54.19917167
2020-02-25 12:00:00,0.29504278,406.76297,88.55962333,45.60315167
2020-02-26 12:00:00,0.29289603,410.16586,88.48699667,39.92552667
2020-02-27 12:00:00,0.29250133,411.37863,88.40868333,36.61596667
2020-02-28 12:00:00,0.29281476,411.3788,88.34066167,33.78941667
2020-02-29 12:00:00,0.29430085,409.61816,88.27367167,31.84514667
2020-03-01 12:00:00,0.29676747,406.68097,88.22056167,31.39574
2020-03-02 12:00:00,0.30202833,400.53372,88.18461,31.04990667
2020-03-03 12:00:00,0.30522957,396.92218,88.13214,30.48640167
2020-03-04 12:00:00,0.30563444,396.5422,88.09537,30.50841667
2020-03-05 12:00:00,0.3054831,396.79135,88.09345667,30.81603333
2020-03-06 12:00:00,0.3038766,399.45544,88.10052667,29.45423167
2020-03-07 12:00:00,0.30901814,394.80576,88.06602833,26.70169833
2020-03-08 12:00:00,0.31729683,386.81174,88.01171167,24.99698833
2020-03-09 12:00:00,0.32271188,385.92426,87.88536,24.007395
2020-03-10 12:00:00,0.3278826,383.56137,87.73618667,24.69995667
2020-03-11 12:00:00,0.33877957,375.39365,87.66501167,24.312465
2020-03-12 12:00:00,0.33096203,386.48978,87.521545,21.36649
2020-03-13 12:00:00,0.3289161,393.70987,87.30104833,18.79669833
2020-03-14 12:00:00,0.34544864,378.68332,87.13236333,17.14130333
2020-03-15 12:00:00,0.34030792,377.92432,87.06228833,15.15968667
2020-03-16 12:00:00,0.3369288,384.46106,86.8917,12.81665
2020-03-17 12:00:00,0.33723754,385.5677,86.77821,12.29764167
2020-03-18 12:00:00,0.34737816,376.89078,86.68752833,12.13354667
2020-03-19 12:00:00,0.34344816,388.79074,86.53383167,13.350935
2020-03-20 12:00:00,0.34046248,394.30066,86.326685,14.79615
2020-03-21 12:00:00,0.34929463,386.41006,86.255855,15.26588833
2020-03-22 12:00:00,0.35959634,377.23853,86.22678,15.729415
2020-03-23 12:00:00,0.3671532,370.73065,86.21077667,15.80881167
2020-03-24 12:00:00,0.3662511,372.10367,86.19101833,15.52022833
2020-03-25 12:00:00,0.36024922,380.95575,86.10904833,13.89030167
